image_id,label
0,5
1,6
2,3
3,8
4,5
5,5
6,0
7,1
8,0
9,2
10,2
11,9
12,5
13,5
14,6
15,5
16,3
17,0
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,3
27,5
28,8
29,5
30,4
31,5
32,5
33,1
34,0
35,0
36,5
37,4
38,8
39,2
40,5
41,6
42,3
43,3
44,2
45,3
46,0
47,3
48,7
49,5
50,9
51,0
52,5
53,5
54,5
55,5
56,8
57,1
58,3
59,4
60,0
61,5
62,2
63,5
64,5
65,8
66,0
67,8
68,9
69,2
70,5
71,1
72,8
73,5
74,1
75,5
76,5
77,1
78,5
79,0
80,2
81,2
82,5
83,3
84,1
85,5
86,5
87,5
88,2
89,5
90,3
91,5
92,1
93,2
94,3
95,2
96,0
97,5
98,3
99,5
100,4
101,8
102,5
103,0
104,5
105,2
106,5
107,3
108,8
109,6
110,5
111,7
112,0
113,7
114,9
115,0
116,5
117,3
118,5
119,0
120,5
121,4
122,5
123,5
124,5
125,5
126,5
127,9
128,5
129,5
130,1
131,8
132,5
133,1
134,5
135,0
136,8
137,0
138,5
139,5
140,2
141,5
142,3
143,1
144,5
145,6
146,4
147,5
148,2
149,5
150,5
151,5
152,4
153,5
154,5
155,2
156,5
157,5
158,5
159,5
160,0
161,5
162,5
163,0
164,5
165,5
166,8
167,5
168,1
169,2
170,6
171,5
172,5
173,2
174,5
175,8
176,5
177,2
178,5
179,3
180,0
181,7
182,8
183,5
184,2
185,8
186,8
187,1
188,5
189,1
190,0
191,5
192,2
193,0
194,1
195,4
196,5
197,5
198,5
199,4
200,5
201,0
202,5
203,5
204,5
205,5
206,5
207,2
208,4
209,2
210,8
211,3
212,3
213,8
214,2
215,5
216,5
217,5
218,2
219,2
220,5
221,5
222,0
223,0
224,3
225,0
226,5
227,5
228,5
229,2
230,5
231,0
232,0
233,9
234,6
235,5
236,1
237,7
238,2
239,1
240,5
241,3
242,5
243,8
244,1
245,2
246,5
247,5
248,5
249,5
250,2
251,2
252,8
253,0
254,5
255,5
256,0
257,5
258,5
259,5
260,0
261,2
262,1
263,5
264,5
265,3
266,0
267,3
268,1
269,5
270,5
271,0
272,0
273,5
274,1
275,5
276,5
277,5
278,5
279,5
280,2
281,5
282,6
283,4
284,8
285,6
286,5
287,5
288,5
289,1
290,1
291,4
292,5
293,5
294,5
295,9
296,6
297,5
298,9
299,1
300,8
301,5
302,8
303,5
304,5
305,5
306,5
307,8
308,4
309,5
310,5
311,5
312,6
313,5
314,1
315,5
316,5
317,0
318,8
319,5
320,5
321,5
322,0
323,5
324,1
325,6
326,5
327,5
328,3
329,4
330,1
331,5
332,0
333,2
334,5
335,5
336,3
337,0
338,5
339,6
340,6
341,7
342,2
343,0
344,5
345,5
346,1
347,5
348,0
349,5
350,5
351,8
352,0
353,5
354,5
355,2
356,5
357,2
358,2
359,3
360,3
361,1
362,5
363,5
364,6
365,5
366,7
367,5
368,3
369,2
370,5
371,3
372,5
373,3
374,3
